Current Day of the year,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
278,0.051,-0.064,0,0.006,-0.043,-0.002,-0.266,-0.018
279,0.075,0.006,-4,-0.06,-0.085,-0.006,0.216,0.013
280,0.078,-0.082,-4,-0.056,0.101,0.01,0.07,0.007
281,0.133,0.311,7,0.163,-0.166,-0.014,0.865,0.031
282,0.074,-0.23,-7,-0.14,-0.072,0.008,-0.129,0.001
284,0.126,-0.393,-14,-0.219,0.117,0.018,-0.428,-0.018
285,0.049,-0.068,0,0,-0.015,0,-0.217,-0.013
286,0.074,0.011,-3,-0.045,0.027,0.001,0.198,0.01
287,0.078,-0.083,-5,-0.069,0.039,0.006,0.054,0.006
288,0.133,0.331,7,0.163,-0.152,-0.012,0.904,0.031
289,0.074,-0.229,-7,-0.14,-0.057,0.008,-0.114,0.001
291,0.126,-0.389,-14,-0.219,0.083,0.015,-0.455,-0.02
292,0.051,-0.082,0,0,-0.034,0,-0.205,-0.012
293,0.073,0.019,-4,-0.059,0.028,0.001,0.179,0.009
294,0.078,-0.083,-5,-0.068,0.026,0.005,0.05,0.006
295,0.131,0.357,8,0.186,-0.165,-0.013,0.992,0.033
296,0.074,-0.23,-8,-0.157,-0.077,0.007,-0.142,0
298,0.126,-0.393,-14,-0.215,0.134,0.018,-0.439,-0.018
299,0.051,-0.084,0,0,-0.006,0.001,-0.224,-0.013
300,0.073,0.026,-6,-0.085,-0.056,-0.004,0.261,0.012
301,0.079,-0.083,-3,-0.041,0.095,0.009,-0.043,0.001
302,0.12,0.401,6,0.133,-0.156,-0.013,0.989,0.032
303,0.087,-0.236,-7,-0.135,-0.03,0.01,-0.103,0.002
305,0.12,-0.392,-14,-0.212,-0.025,0.008,-0.464,-0.019
306,0.044,-0.09,1,0.015,-0.014,0.001,-0.26,-0.016
307,0.073,0.026,-6,-0.085,-0.073,-0.006,0.182,0.009
